"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"A2M",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A2M-AS1",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A2ML1",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A2MP1",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A4GALT",2,1,1,1,1.5,2,0.5,1,2,1.5,0.5,1,3,2,1,1,1,1,1,1,1,1.5,2,1,1.5,3,1,1.5,1,1.5,1,3.5,1,2,2.5,1,1,2.5,1,1.5,1,2,3,2,2,1,1,1,2,1,2
"A4GNT",3.5,1.5,2,1.5,2,1.5,1.5,2,1.5,1.5,1.5,1,2,3.5,1,1.5,2,1.5,0.5,1,1.5,2,2,1,2,3,2,1,1.5,1.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2,3,2,3,1.5,1.5,1,2.5,1,1.5
"AAAS",1.5,2,1.5,1,1.5,2,1,1.5,1,1.5,1,1,2,2,1,1,2,1,1,1,1,1,1.5,0.5,2,2,1,1,1,2.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,1.5,2,2,2,1,1,1,1.5,1,1.5
"AACS",1.5,2,1.5,1,1.5,1,1,1.5,2,1.5,1,1,2,2,1,1,1.5,1,1,1,1,1,1.5,1,2,1.5,1,1,1,2.5,1.5,2,1.5,1.5,0.5,1,1,2,1,1.5,1,1.5,1.5,1,2,0.5,1,1,2,1,1
"AACSP1",2,1,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,3.5,1,1,0.5,1,1,1,0.5,1.5
"AADAC",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AADACL2",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AADACP1",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AADAT",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,0.5,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AAGAB",1.5,1.5,2,1,1.5,1,0.5,1,1.5,1.5,0.5,1,2,2,1,1,1.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1
"AAK1",1.5,1.5,2,1.5,2,1.5,1,2,1.5,1,1,1,2.5,2,1,1,2,1,1,1,2,1,3,1,2,2,1.5,1.5,1,2.5,2,2,1,2.5,1,1.5,1,2,1,3,1,1.5,2.5,2.5,1.5,1,1,1.5,2,1,2
"AAMDC",1,2,1.5,1,2,2,1.5,1.5,1.5,1,1,0.5,2.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1.5,1.5,1,0.5,1,1.5,1.5,1,1,1.5,0.5,1.5,1,2,1,1.5,1,2.5,2,1.5,1.5,1,1.5,1,3.5,1,1.5
"AAMP",1,1.5,2,1,2.5,1,0.5,1.5,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1.5,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1.5,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,1.5
"AANAT",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"AAR2",1.5,1.5,2,1,2,2,1.5,1.5,1.5,3,1,1,2,2,1,1,2,1.5,1,1,1,1.5,3.5,1,2.5,1,1,1,1,3.5,2.5,1,1,1.5,1,1.5,1,2.5,1,1.5,1,3,1,3.5,2,1,1.5,1,3,1,1.5
"AARD",3,3,1.5,1.5,2.5,3.5,2,1.5,3,1.5,1,1,2.5,2,1.5,1,2,1,1,1,1.5,1,2.5,1,1.5,2,1.5,1,1,1.5,2,2,1,1,1.5,1.5,1.5,2,1,1.5,1.5,2.5,1.5,2,2,1,0.5,1,2.5,1,2.5
"AARS1",1,1,1.5,1,2,1.5,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1.5,1,2,1,1,1,1,1.5,1,1.5,1,1,1,1,1,2,1,0.5,1,3.5,1,1.5,1.5,1,1,1,2.5,0.5,1
"AARS2",1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1,3,1,1.5,1,1.5,1,1.5,1,1,0.5,1,0.5,2,2,1,1,1,1.5,1.5,2,1,2,0.5,1.5,0.5,1.5,1,1,1,1,2,2,1.5,0.5,1,1,2.5,1,1.5
"AARSD1",2,1.5,2,1,1.5,2,1,1.5,2,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,0.5,2,1,2,1,1,1,2.5,2,1,1,1,2,1,1
"AASDH",1,1,1,1,1.5,3,1,1.5,2,2,1,1,1,2,1,1,1,1,0.5,1,0.5,1,3.5,1,1,1,1,1,0.5,1,1,2,2.5,1,0.5,1,1,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AASDHPPT",2,2,1.5,1,2,2,1.5,1.5,1,1,1,0.5,1,2,1,1,1.5,1,1,1,1,0.5,1.5,1,1.5,1.5,1,1,1,1.5,1.5,1,1,1.5,0.5,1.5,1,2,1,1,1,0.5,3.5,1.5,1.5,1,1,1,2,1,1.5
"AASS",2.5,1.5,2.5,1,1.5,3.5,0.5,1.5,1,1.5,1,1,2,2,1,1,1.5,1,1,1,1,1,2.5,1.5,2,2.5,1,0.5,1,2,1,1.5,2,1.5,0.5,1,1,2,1,1,1,2,3.5,2,2,1,0.5,1.5,2,1,1
"AATBC",1,1.5,1,0.5,2,1.5,1,1.5,1.5,1,1,1,1,1.5,1,1,1,0.5,0.5,1,1,0.5,1.5,0.5,1,1.5,0.5,1,1,1,1.5,1,2,1,1,1,0.5,1,1,1.5,1,1,1.5,1,1.5,1,0.5,1,2.5,1,1
"AATF",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,2,1,1,3,2.5,2,1,1,1,2,1,1
"AATK",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2.5,1,1,1,2,1,1
"ABAT",1,1,1.5,1,2,1.5,1,1,1.5,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,1.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2,1,1,1,1,1,2.5,1.5,1,1,1,2,1,0.5
"ABCA1",1,1,3,1.5,1,1,1,1.5,1.5,1,1,1.5,2,2,1.5,1,1,0.5,0.5,1,1,1,1,1,2.5,2,1,1,1,1.5,2.5,1,1,1.5,0.5,1,1.5,2,1,1,1,2,1.5,1.5,1.5,1,1,1,1.5,1,1
"ABCA10",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"ABCA12",1,1.5,2,1,2.5,1,0.5,1.5,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1.5,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1.5,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,1.5
"ABCA13",2.5,1.5,1.5,1,1.5,2,0.5,1.5,1.5,1.5,1,1,2,2,1.5,1,2,2,1,1,1,0.5,3,1.5,1.5,3,0.5,1,1,2,1.5,1.5,1,1.5,0.5,3.5,1,2,1,1,1,1,1,2,2,1,2,1.5,2,1,1.5
"ABCA17P",1,1,2,1,1.5,1.5,1,1,1.5,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,2.5,1,0.5
"ABCA2",1,1,1.5,1.5,1,1,0.5,1.5,1.5,1,1,1.5,2,2,1.5,1,1,0.5,0.5,1,1,1,1,1,2.5,2,1,1,1,1.5,2.5,1,1,1.5,0.5,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,2,1,1.5
"ABCA3",1,1,2,1,1.5,1.5,1,1,1.5,1.5,1,1,1.5,2,0.5,1,1,1,1,1,1,0.5,1.5,1,2,1,0.5,1,1,1.5,1.5,1.5,0.5,1.5,1,1.5,1,2.5,1,1,1,1,1,3,1.5,1,1,1,2.5,1,1
"ABCA4",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1,1,2,1,1,1,0.5,1,1,2,1,1.5,1,1,1,1,0.5,2,1,1,1,1.5,1.5,2,1.5,0.5,1,1,2,0.5,1
"ABCA5",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"ABCA6",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"ABCA7",1,1,1.5,1,1,1.5,1,1,1,1.5,1,1,2,2,1,1,1.5,0.5,1,1,1,0.5,1,0.5,3,1,1,0.5,1,1.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,1.5,1.5,2,0.5,0.5,1,1.5,1,1
"ABCA8",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"ABCA9",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"ABCB1",2.5,1.5,2.5,1,1.5,2,1,1.5,1,2,1,1,2,2,1.5,1,1.5,1,1,1,1,1,3.5,1.5,2,2,1,1.5,1,2,1,1.5,2,1.5,0.5,1,1,2,1,1.5,1,2,3.5,2,2,1,0.5,1.5,2,1,1
"ABCB10",2,1.5,2,1,2.5,1.5,1,2,2,1.5,1,1,2,2,1,1.5,1.5,1.5,1,1,1.5,1,2,1,2,1.5,1.5,1,1,2,1.5,2,1.5,1.5,1,1.5,1,2,1,2.5,1,1.5,1.5,2,1.5,1,1,1,2.5,1,1
"ABCB5",2.5,1.5,1.5,1,1.5,2,0.5,1,2,1.5,1,1,2,2,1.5,1,2,2,1,1,1,0.5,3,1.5,1.5,3,1,1,1,2,1.5,1.5,1,1.5,0.5,3.5,1,2,1,1,1,1,1,2,2,1,2,1.5,2,1,1.5
"ABCB6",1,1.5,2,1,2.5,1,0.5,1.5,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1.5,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,1.5
"ABCB8",2.5,1.5,2.5,1,1.5,2.5,0.5,1.5,0.5,1.5,1,1,2,2,1,1,1.5,1,1,1,1,1,3.5,1.5,2,2.5,1,0.5,1,2,1,1.5,1,1.5,1,1,1,2,1,1,1,2,1.5,2,2,1,0.5,1.5,2,1,1.5
"ABCB9",1.5,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1,1,2,2,1,1,2,1,1,1,1,1,1.5,1,2,1.5,1,1,1,2.5,1.5,2,1.5,1.5,0.5,1,1,2,1,1.5,1,1.5,1.5,1,2,0.5,1,1,2,1,1
"ABCC10",1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1,3,1,1.5,1,1.5,1,1.5,1,1,0.5,1,0.5,2,2,1,1,1,1.5,1.5,2,1,2,0.5,1.5,0.5,1.5,1,1,1,1,2,2,1.5,0.5,1,1,2.5,1,2.5
"ABCC13",1.5,1,1,0.5,2,1.5,1,1.5,0.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,1,0.5,1.5,0.5,1,2.5,1,1,1,1.5,1.5,1,2,2,1,0.5,1,1,1,0.5,1,1,1.5,1,1.5,1,0.5,1,2,2.5,1
"ABCC2",1.5,1,1,1,1.5,1.5,1,0.5,1.5,1,0.5,0.5,1,1,1,1,2,1,1,1,1.5,0.5,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,0.5,1,0.5,1.5,1,1.5,1,1,2,1.5,1,1,1,1,1,0.5,1.5
"ABCC3",2,1.5,2,1,1.5,2,1,1.5,1,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"ABCC4",2,1.5,1,0.5,2.5,1,0.5,1.5,1,1,0.5,0.5,1.5,2.5,0.5,1,2,1,0.5,1,1,0.5,1,0.5,1,1,1,1,0.5,1.5,3.5,2,0.5,1,0.5,2.5,1,1,1,0.5,1,1,1.5,1,2,1,1,1,2.5,0.5,1
"ABCC8",1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1.5,1,1,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1.5,1,1,2,0.5,1.5,1,2,1,2,1,1.5,2,1.5,1.5,1,1.5,1,1.5,1,1
"ABCC9",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,1.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,2.5,1,1,1,2,1,2.5,1,2,3.5,3.5,2,1,1,1,1.5,1,1.5
"ABCD2",1.5,2,1.5,1,1.5,1.5,1,1.5,1,1.5,1,1,2,3,1,1,2,1,1,1,1,1,1.5,0.5,2,3.5,1,1,1,2.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,2,2,2,1,0.5,1,2,1,1.5
"ABCD3",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1,1,2,1,1,1,0.5,1,1,2,1,1.5,1,1,1,1,0.5,2,1,1,1,1.5,1.5,2,1.5,0.5,1,1,2,0.5,1
"ABCD4",1,2,1,1,2,2,1,1,1,1.5,0.5,1,1.5,2.5,1,0.5,1,0.5,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1.5,1.5,1,1.5,1,1.5,1,1,1,1.5,2,2,1,1,1.5,1,1.5,1,1
"ABCE1",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,1,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"ABCF1",1.5,1.5,1,1,1.5,2,2,1.5,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1.5,1,2,1,2,0.5,1.5,0.5,1.5,1,1,1,1,2,3,1.5,1,1,1,2.5,1,2
"ABCF2",2.5,1.5,2.5,1,1.5,2.5,0.5,1.5,0.5,1.5,1,1,2,2,1,1,1.5,1,1,1,1,1,3.5,1.5,2,2.5,1,0.5,1,2,1,1.5,1,1.5,1,1,1,2,1,1,1,2,1.5,2,2,1,0.5,1.5,2,1,1.5
"ABCG1",1,1.5,1,0.5,2,1.5,1,1.5,1.5,1,1,1,1,1.5,1,1,1,0.5,0.5,1,0.5,0.5,1.5,0.5,1,1.5,0.5,1,1,1,1.5,1,2,1.5,1,1,0.5,1,1,1.5,1,1,1.5,1,1.5,1,0.5,1,2.5,1,1.5
"ABCG2",1,1,1,0.5,1.5,1.5,1,1,2,2,1,0.5,1,1,1,1,1,1,0.5,1,0.5,1,2,1,1,1,1,1,0.5,1,1,2,0.5,1,0.5,1,1,1.5,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"ABCG4",2,2,1.5,1,2,2,1.5,1.5,1,1,1,0.5,1,2,1,1,1.5,1,0.5,1,1,0.5,1.5,1,1.5,1.5,1,1,1,1.5,1,1,1,1.5,0.5,1.5,1,2.5,1,1,1,1.5,1,1.5,1.5,1,1,1,1,1,1.5
"ABHD1",1.5,1.5,2,1.5,2,1.5,1,2,2,1,1,1,2.5,2,1,1,2,1,1,1,2,1,3,1.5,1.5,3,1.5,1,1,3,2,2,1,2.5,1,1.5,1,2,1,1.5,1.5,1.5,2.5,2.5,2,1,1,1.5,2,1,1.5
"ABHD10",2,1.5,2,1.5,2,1.5,1,2,1.5,1.5,1.5,1,2,3.5,1,1.5,2,1.5,0.5,1,2,1,2,1,2,3,1.5,1,1.5,1.5,3,3,1,3,1.5,2.5,1.5,3.5,1,2,1,2,2,2,1.5,1.5,1.5,1,2,1,1.5
"ABHD11",2.5,1.5,2.5,1,1.5,2,1,1.5,1,2,1,1,2,2,1.5,1,1.5,1,1,1,1,1,3,1.5,3,2,0.5,1.5,1,2,3.5,1.5,1,1.5,0.5,1,1,2,1,1.5,1,2,1.5,2,2,1,0.5,1.5,2,1,1
"ABHD12",2,1.5,2.5,1,2,2,0.5,1.5,1.5,1,1,1,2,2.5,2,1,2,1.5,1,1,1,1,3.5,1,2.5,1,1,1,1,2,2,2.5,1,1.5,1,1.5,1.5,2.5,1,1.5,1,3,2,3,2,1,1.5,1.5,3,1,2
"ABHD12B",1,2,1,1,2,2.5,1,1,1,1.5,0.5,1,1.5,2.5,1,0.5,2,0.5,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1.5,1.5,1,1.5,1,1.5,1,1,1,1.5,2,2,1,1,1.5,1,1.5,1,1
"ABHD13",2,1.5,1,0.5,2.5,1,1,1.5,1,3.5,0.5,0.5,1.5,2.5,0.5,1,2,1,0.5,1,1,0.5,1,0.5,1,1,1,1,0.5,1.5,2.5,2,0.5,1,0.5,2.5,1,1,1,0.5,1,1,1.5,2,2,1,1,1,2.5,0.5,1
"ABHD14A",1,0.5,1,0.5,1,1.5,0.5,1.5,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1.5,1,1,0.5,1
"ABHD14B",1,0.5,1,0.5,1,1.5,0.5,1.5,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1.5,1,1,0.5,1
"ABHD15",2,1.5,2,1,2,1.5,1,1.5,2,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,0.5,1.5,2,1.5,1,0.5,2,2.5,1.5,1.5,2.5,1,1.5,1,2,1,3,0.5,1,2,2.5,2,1,1,1,2,1,1
"ABHD17A",1,1,1.5,1,1,1.5,1,1,1.5,1.5,1,1,2,2,1,1,1.5,0.5,1,1,1,0.5,1,0.5,3,1,1,0.5,1,1.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,1.5,1.5,2,0.5,1,1,1,1,1
"ABHD17C",1.5,1.5,2,1,1.5,1,0.5,1,1,1.5,0.5,1,2,2,1,1,2.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,0.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1.5
"ABHD5",1,0.5,1,0.5,1,1.5,0.5,1.5,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1.5,1,1,0.5,1
"ABHD6",1,0.5,1,0.5,1,1.5,0.5,1.5,1,1,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1.5,1,1,0.5,1
"ABHD8",1.5,1,2.5,1,1,1.5,1,1,2,1.5,1,1,2,2,0.5,1,1.5,0.5,1,1,1,0.5,1,1,3,1,1,0.5,1,2,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,1.5,1.5,2,1,0.5,1,1,1,1
"ABI2",1,1.5,2,1,2.5,1,1.5,1.5,1.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,2,1.5,3,1,1,1.5,1,1.5,1.5,2,0.5,1.5,1,1,1,2,1,1.5,1,1.5,3,2.5,1.5,0.5,1,1,2,1,1.5
"ABI3",2,1.5,2,1,1.5,2,1,1.5,1,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1
"ABI3BP",2,1.5,3,1,2.5,1.5,1.5,2,1.5,1.5,1.5,2.5,2,3.5,1,1.5,2,1.5,0.5,1,1.5,1,2,1,2,3,1,1,1,1.5,3,3,1,3,1.5,2.5,1.5,3.5,1,2,1,1.5,2,2,2,2,1.5,1,2,1,1.5
"ABITRAM",1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,1.5,2,2,1.5,1,1,0.5,0.5,1,1,1,1,1,2.5,2,1,1,1,1.5,2.5,1,1,1.5,0.5,1,1.5,2,1,1,1,2,1.5,1.5,1.5,1,1,1,1.5,1,1
"ABL1",1,1,1.5,1.5,1,1,0.5,1.5,1.5,1,1,1.5,1.5,2,1.5,1,1,0.5,0.5,1,1,1,1,1,2.5,2,1,1,1,1.5,2.5,1,1,1.5,0.5,1,1,2,1,1,1,3,1.5,1.5,1.5,1,1,1,2,1,1
"ABL2",2,1.5,2,1,3.5,1.5,1,1.5,2,1,1,1,2,2,1,1.5,1.5,1.5,1,1,1.5,1,2,1,2,1.5,1.5,1,1,2,3.5,2,1.5,1.5,1,1.5,1,2,1,2.5,1,1.5,1.5,2,1.5,2,1,1,2.5,1,1
"ABLIM1",1.5,1.5,1,1,1.5,1.5,1,2.5,1.5,1,1,0.5,1,1,1,1,2,1,1,1,1.5,0.5,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,2,1.5,1,1,1,1,1,0.5,1.5
"ABLIM2",1,1,1,0.5,2,3,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1.5,3,0.5,1,1,1,0.5,0.5,1,1.5,2,0.5,1,0.5,1,1,1.5,1,2,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"ABLIM3",2,1,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,2,1,1,0.5,1,1,1,0.5,1.5
"ABO",1,1,1.5,1.5,1,1,0.5,1.5,1.5,1,1,1.5,2,2,1.5,1,1,0.5,0.5,1,1,1,1,1,2.5,2,1,1,1,1.5,2.5,1,1,1.5,0.5,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,2,1,1
"ABR",2,1.5,1,0.5,1,1.5,0.5,1,1,1,0.5,1,1.5,2,1,0.5,2,0.5,0.5,1,0.5,1,1.5,0.5,1.5,1,0.5,0.5,0.5,1.5,1,1.5,1.5,2,1,1,0.5,1,1,1,0.5,1,1.5,2,2,0.5,1,1,1,0.5,1
"ABRACL",1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1.5,1,1,1,1,1.5,1,1,2,1.5,1,1,1,1,1.5,2,1,1,0.5,1,1,2,1,1.5,1,2,2,2,1.5,0.5,1,1,3,1,1
"ABRAXAS1",1,1,1,0.5,1.5,1.5,1,1,2,2,1,0.5,1,1,1,1,1,1,0.5,1,0.5,1,2,1,1,1,1,1,0.5,1,1,2,0.5,1,0.5,1,1,1.5,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"ABRAXAS2",1.5,1.5,1,1,2,1.5,1,1.5,1,1,1,0.5,1,1,1,1,2,1,1,1,1.5,0.5,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,2,1.5,1,1,1,1,1,0.5,1.5
"ABT1",1.5,1.5,1,1,1,2,0.5,1.5,1.5,1,0.5,1,1,1,1,0.5,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1.5,1,2,1,2,0.5,1.5,0.5,1.5,1,1,1,1,2,3,1.5,1,1,1,2.5,1,2
