"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"MVB12A",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"MVK",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"MX1",1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0.5,1,1
"MX2",1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0.5,1,1
"MXD1",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"MXD3",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,1
"MXD4",1,0.5,1,0.5,3.5,1,1,1,0.5,0.5,0.5,1,1,1.5,1,1,1.5,0.5,1,1,0.5,1,0.5,2.5,1.5,1.5,1,1,1,1.5,1,1.5
"MXI1",1,0.5,1,1,1.5,2,1,1,0.5,1,2,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,2,1,1,1,1,1,1,1,1
"MXRA7",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"MXRA7P1",1.5,1,1,1,1,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"MYADM",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"MYB",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,2,1,1,3.5,1.5,1,1
"MYBBP1A",1,0.5,1,0.5,2,1,1,1,0.5,0.5,2.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"MYBL1",2,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1,1.5,1,1,2,1.5
"MYBL2",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,3.5,1,1,2.5,1,1.5,2,1,1,1,1.5,1.5,1,2,1.5,2.5,1.5,1.5,2,3,1.5,1.5
"MYBPC1",1,0.5,1,1,0.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"MYBPC2",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"MYBPC3",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"MYC",2.5,1,1,2,2.5,3.5,1.5,1,1,1,3.5,1.5,1.5,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"MYCBP",1.5,0.5,1,1,2,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,3.5,1,1,1,1,1,1
"MYCBP2",0.5,1,1,2.5,2.5,2.5,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3.5,1.5,1.5,1,1,2,1.5,1.5,1
"MYCBPAP",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"MYCL",1.5,0.5,1,1,2,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,3.5,1,1,1,1,1,1
"MYCN",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"MYCT1",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,2.5,2,1,1,3.5,1,1,1
"MYD88",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"MYEF2",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"MYEOV",3.5,1,1,3.5,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,2.5,3.5,3,1,1.5
"MYH10",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,1.5,1,1,2,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1.5
"MYH13",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1.5
"MYH14",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"MYH15",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"MYH16",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,3.5,1,3,1,1.5,1,1,1,3.5,1,1
"MYH3",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,1.5,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1.5
"MYH7",0.5,0.5,1,1,1.5,1,1,1,0.5,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1,1,1,2.5,1,1,1
"MYH7B",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,2.5,1,1,2.5,1,1.5,2,1,1,1,1.5,1.5,1,2,1.5,2.5,1.5,1.5,2,1.5,1.5,1.5
"MYH9",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"MYL12A",1,0.5,1,1,2,1.5,1,1,1,1,1.5,2,1,1,1,0.5,3.5,0.5,1,1,0.5,0.5,0.5,1.5,1.5,1.5,1,1,1,1,1,1
"MYL12B",1,0.5,1,1,2,1.5,1,1,1,1,1.5,2,1,1,1,0.5,3.5,0.5,1,1,0.5,0.5,0.5,1.5,1.5,1.5,1,1,1,1,1,1
"MYL12BP1",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"MYL3",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"MYL4",1,0.5,1,1,1.5,1,1,1,1,1.5,2.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"MYL6",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1.5,1,1,1,1,2.5,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"MYL6B",1,0.5,1,1,1.5,1,1,1,0.5,1,1.5,1.5,1,1,1,1,2.5,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"MYL6P5",1,0.5,1,1,1.5,2,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,2,2,1,1.5
"MYL9",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,2.5,1,1,2.5,1,1.5,2,1,1,1,1.5,1.5,1,2,1.5,2.5,1.5,1.5,2,3,1.5,1.5
"MYLIP",1,0.5,1,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,1,1.5,1.5,1,1
"MYLK3",1.5,0.5,1,0.5,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"MYLK4",1,0.5,1,1,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1
"MYO10",2.5,1,1,1.5,3,3,1,1,0.5,0.5,3.5,1,1,2,1,1,3,1,1,1,1.5,1,1,1.5,1.5,1.5,1,1,1.5,2,1,2
"MYO15B",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"MYO16",0.5,1,1,2,2.5,2.5,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3.5,1.5,1.5,1,1,2,1.5,1.5,1
"MYO18A",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,2,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1,2,1,1.5
"MYO18B",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1.5,1,1
"MYO1A",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"MYO1B",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,0.5,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"MYO1C",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"MYO1D",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1,2,1,1.5
"MYO1E",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"MYO1F",1,1,1,1,1,1.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,2
"MYO1G",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"MYO1H",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"MYO3B",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"MYO5A",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"MYO5B",1,0.5,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1.5,2,3,0.5,1,1,1,1,1
"MYO5C",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"MYO6",1,0.5,1,1.5,2,2,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"MYO7A",2,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1,1,1,1,2,1,2.5,1,1.5,1,2.5,1.5,1,1,1.5
"MYO7B",1.5,1,1,1,2,2,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"MYO9A",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,3.5,1,1
"MYO9B",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"MYOC",1.5,0.5,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,1.5,3,2.5,1,1,1.5,2,1,1
"MYOCD",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1.5
"MYOM1",1,0.5,1,1,2,1.5,1,1,1,1,1.5,2,1,1,1,0.5,3.5,1,1,1,0.5,0.5,0.5,1.5,1.5,1.5,1,1,1,1,1,1
"MYOM2",2,1,1,1.5,2.5,1,1.5,1,1,1,0.5,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,2,0.5,1.5,1.5,0.5,0.5,1,1,2,1.5
"MYOM3",1.5,0.5,1,1,2,1.5,1,1,1,1,1.5,0.5,1,1,1,0.5,2.5,1,1,1,0.5,1,0.5,1.5,2,1,1,1,1,1,1,1
"MYORG",1,0.5,1,1,2,1.5,1,1,0.5,1,1,3.5,1,1.5,1,1,1,1,1,1,1,0.5,1,2,1.5,1.5,1,0.5,2.5,1,1,1
"MYOT",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,2.5,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1
"MYOZ1",1,0.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,2,1,2,1,1,1.5,1,1,1
"MYOZ2",1,0.5,1,1,1,1,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,1.5,1,1,1.5
"MYOZ3",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1
"MYPN",1,0.5,1,1,1,2,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,2,1,2,1,1,1.5,1,1,1
"MYPOP",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1,2,1,1,1,1,1,2
"MYRF",1.5,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1.5
"MYRFL",1,0.5,1,1,1,1,1,1,1,1,1.5,3.5,1,1,1,1,2,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"MYRIP",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"MYSM1",1.5,0.5,1,1,1,1.5,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"MYT1L",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1
"MYZAP",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"MZB1",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1
"MZT1",0.5,1,1,2.5,2.5,2.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1,1,0.5,1,3.5,1.5,1.5,1,1,2,1,1.5,1
"MZT2A",1.5,1,1,1,2,2,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"N4BP1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"N4BP2",1,0.5,1,1,1.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1.5,1.5,1.5,1,1,1,0.5,1,1.5
"N4BP2L1",1,1,1,2,2.5,1,1,1,1,0.5,1,1,1,1.5,1,1,2,1,1,1,1,0.5,1,1.5,1.5,1.5,1,1,2,1,1.5,1
"N4BP2L2",1,1,1,2,2.5,1,1,1,1,0.5,1,1,1,1.5,1,1,2,1,1,1,1,0.5,1,1.5,1.5,1.5,1,1,2,1,1.5,1
"N4BP3",0.5,1,1,1,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,0.5,1,1,1
"N6AMT1",1,0.5,1,1,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,1,1,0.5,0.5,0.5,1,1.5,1,1,0.5,1,1.5,1,1
"NAA15",1.5,0.5,1,1,1,1,1,1,1.5,0.5,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,3,1,1.5,1,1,1.5
"NAA16",1,1,1,2,2.5,1,1,1,1,0.5,1,1,1,1.5,1,1,2,1,1,1,1,0.5,1,1.5,1.5,1.5,1,1,2,1,1.5,1
"NAA20",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,1.5,0.5,1,2.5,1,1.5,2,1,1,1,1.5,0.5,1,1.5,1.5,2.5,1,1.5,2,1.5,1.5,1.5
"NAA25",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"NAA35",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"NAA38",1,0.5,1,0.5,1,1,1,1,0.5,0.5,1.5,0.5,1,1.5,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1.5
"NAA40",1.5,1,1,0.5,1.5,1.5,1.5,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1.5
"NAA60",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"NAAA",1,0.5,1,1,3.5,1,1,1,0.5,0.5,1,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,2,1,1,0.5,1,1,1.5
"NAALAD2",1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1.5,1,1,1.5,1,1,1.5
"NAALADL2",1.5,0.5,1,1.5,2,1.5,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"NAB1",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"NAB2",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"NABP1",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"NACA",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"NACA2",1,0.5,1,1,1.5,1.5,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,2,2,1,1.5
"NACA3P",1.5,0.5,1,0.5,1,2.5,1,1,1.5,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,2.5,1,1,1.5
"NACA4P",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1.5,1.5,1.5,1,2,1.5
"NACAD",1.5,1,1,1.5,2,2.5,1,1,1,1.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3.5,1,1,1.5,2,1,1
"NACC2",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"NADK2",1.5,1,1,1.5,2,2.5,1,1,0.5,0.5,3.5,2,1,2,1,1,3,1,1,1,1.5,1,0.5,1.5,2,1,1,1,1.5,2,1,2
"NADSYN1",3.5,1,1,2,1.5,2.5,1,1,1,1,1.5,1,1,1.5,1,1,2.5,0.5,1,1,1,1,1,2,1.5,1.5,1,2.5,1.5,1,1,1.5
"NAE1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"NAF1",1.5,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,0.5,1,2.5,1,1,1.5
"NAGA",1,0.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,0.5,1,1,1,1.5,1,1
"NAGK",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"NAGLU",1,0.5,1,1,1.5,2.5,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"NAGPA",1,0.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"NAGS",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"NALCN",0.5,1,1,2.5,2.5,2.5,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,2,1.5,1.5,1,1,2,1.5,1.5,1
"NAMPT",1,0.5,1,1,1,2.5,1,1,1,0.5,3,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"NAMPTP1",1.5,0.5,1,1,1,2,1,1,1,1,3,1,1,1.5,1,1,1,1,1,1,1.5,0.5,1,2,2,1.5,1,1.5,2,1.5,1,1
"NANOS3",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"NANP",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,1.5,1,1,2.5,1,1.5,2,1,1,1,1.5,0.5,1,1.5,1.5,2.5,1,1.5,2,1.5,1.5,1.5
"NAP1L1",1,0.5,1,1,0.5,1,1,1,1,1,1.5,1,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,1,1,1,1.5
"NAP1L1P1",1,1,1,1,2,1.5,1,1,1,2,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1.5,1,1.5,0.5,1,1,1,1,1.5
"NAP1L4",1.5,1,1,1,1.5,1.5,1,1,1,0.5,0.5,1,1,1,1,1,1.5,0.5,1,1,1,0.5,1,1,1.5,1.5,1,1,1.5,1,1,1.5
"NAP1L4P1",1,0.5,1,1.5,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,3.5,0.5,1,1,1,1,1
"NAPA",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1.5,2,1,1,1,1,1,2
"NAPA-AS1",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1.5,2,1,1,1,1,1,2
"NAPB",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,1.5,0.5,1,2.5,1,1.5,2,1,1,1,1.5,0.5,1,1.5,1.5,2.5,1,1.5,2,1.5,1.5,1.5
"NAPEPLD",2,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3,1,1.5,1,1,1,1,1,1
"NAPG",1,0.5,1,1,2,1.5,1,1,1,1,1.5,1,1,1,1,0.5,3.5,1,1,1,0.5,0.5,0.5,1.5,1,1.5,1,1,1,2,1,1
"NAPRT",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,0.5,2,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"NAPSA",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"NAPSB",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"NARF",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"NARS1",1,0.5,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1,1,1
"NARS2",3,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1,1,1,1,2,1,2.5,1,1.5,1,2.5,1.5,1,1,1.5
"NASP",1.5,0.5,1,1,2,1.5,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"NAT10",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,2,1,1,1.5,1,1,1.5
"NAT8",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"NAT8B",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"NAT9",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"NATD1",1,0.5,1,1,2,1,1,1,0.5,2,1.5,1,1,0,1,1,1,0.5,1,1,0.5,1,1,1,1,0.5,0.5,1,1,2,1,1.5
"NAV1",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,2,1,1
"NAV2",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,3.5,1,1,1.5,1,1,1.5
